timestamp,pow,traw,tmu,cd,cv,ci,cstatus,ctemp
1187,151,101,33797,9140,1003,2683,0,79125
1190,149,101,33790,9140,1003,2695,0,80125
1192,152,101,33797,9140,1004,2640,0,80625
1194,151,101,33802,9140,1004,2707,0,79625
1196,161,101,33805,9140,1004,2652,0,79625
1199,152,101,33804,9140,1004,2750,0,79625
1201,155,101,33804,9140,1003,2738,0,80125
1203,159,101,33811,9140,1004,2800,0,80125
1205,154,101,33817,9140,1004,2742,0,80125
1212,156,101,33807,9140,1003,2714,0,79625
1214,160,101,33798,9140,1003,2769,0,80125
1217,157,101,33803,9156,1004,2800,0,80625
1219,153,101,33799,9140,1003,2640,0,81125
1221,157,101,33795,9140,1004,2750,0,80125
1223,159,101,33789,9140,1003,2753,0,80125
1226,155,101,33789,9156,1004,2699,0,80625
1228,159,101,33785,9140,1004,2707,0,80125
1230,149,101,33792,9140,1003,2753,0,80625
1233,154,101,33786,9140,1004,2683,0,80625
1235,153,101,33800,9140,1004,2718,0,80125
1237,157,101,33800,9140,1004,2800,0,81625
1239,150,101,33787,9140,1003,2652,0,80125
1242,151,101,33768,9140,1003,2660,0,80625
1244,153,101,33787,9140,1004,2722,0,79625
1246,153,102,33789,9140,1004,2679,0,80125
1248,158,102,33788,9140,1003,2816,0,81625
1251,161,102,33790,9140,1004,2800,0,80125
1253,161,102,33801,9156,1004,2816,0,80625
1255,163,102,33801,9140,1004,2707,0,80125
1257,160,102,33814,9140,1004,2843,0,79625
1260,159,102,33803,9140,1003,2710,0,80125
1262,155,102,33812,9140,1003,2722,0,80625
1264,152,102,33821,9156,1003,2738,0,79625
1266,153,102,33814,9140,1004,2691,0,81125
1273,158,102,33801,9140,1004,2753,0,80125
1275,162,102,33804,9140,1004,2847,0,81125
1278,161,102,33792,9140,1004,2777,0,80625
1280,154,102,33795,9140,1004,2699,0,81125
1282,156,102,33793,9140,1004,2703,0,80625
1285,160,102,33793,9156,1004,2730,0,81125
1287,153,102,33797,9140,1004,2687,0,80625
1289,156,102,33783,9140,1004,2738,0,80125
1291,159,102,33784,9140,1003,2781,0,81625
1294,150,102,33786,9140,1004,2617,0,80625
1296,153,102,33791,9140,1004,2699,0,80625
1298,164,102,33779,9140,1003,2808,0,80625
1305,154,102,33805,9156,1003,2722,0,80625
1307,159,102,33801,9140,1004,2773,0,81125
1309,152,102,33796,9140,1003,2726,0,80625
1312,158,102,33792,9140,1004,2679,0,80625
1314,153,102,33788,9140,1004,2703,0,81125
1316,157,102,33792,9140,1004,2687,0,78625
1318,154,102,33789,9140,1003,2699,0,81125
1321,156,102,33778,9140,1003,2718,0,81125
1323,152,102,33771,9140,1006,2675,0,81625
1325,160,102,33775,9140,1003,2769,0,81125
1327,143,102,33784,9140,1003,2625,0,81125
1330,163,103,33784,9140,1004,2835,0,81625
1332,156,103,33781,9140,1003,2828,0,81125
1334,162,103,33780,9140,1004,2789,0,81125
1336,151,103,33774,9140,1004,2710,0,81625
1339,155,103,33780,9140,1003,2761,0,81125
1341,163,103,33774,9140,1003,2859,0,81125
1343,154,103,33769,9140,1001,2757,0,82125
1346,155,103,33765,9140,1004,2785,0,81125
1348,156,103,33759,9140,1004,2789,0,82125
1350,156,103,33764,9140,1004,2722,0,81125
1357,157,103,33769,9140,1003,2800,0,80625
1364,157,103,33748,9140,1001,2824,0,81625
1366,161,103,33743,9140,1003,2796,0,82125
1368,150,103,33755,9140,1003,2699,0,81125
1370,161,103,33760,9140,1003,2824,0,81625
1373,156,103,33771,9140,1003,2800,0,81125
1375,159,103,33760,9140,1001,2843,0,81125
1377,158,103,33761,9140,1003,2789,0,81125
1379,160,103,33771,9140,1004,2832,0,81625
1382,156,103,33762,9156,1003,2761,0,81125
1384,157,103,33760,9140,1003,2839,0,80625
1386,162,103,33764,9140,1004,2910,0,81625
1388,163,103,33766,9140,1003,2800,0,80625
1391,158,103,33764,9156,1003,2828,0,81625
1393,163,103,33773,9140,1004,2843,0,81625
